usage_id,usage_date,usage_ts,subscription_id,resource_group_id,service_id,resource_name,meter_name,region,usage_quantity,unit_price,cost_amount,currency,pricing_model,environment,source_system,created_at,updated_at
11,2026-04-05,2026-04-05 06:07:08,1,3,2,storage-simple-902,Read Operations,northeurope,82.1142,0.143247,11.7626,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
12,2026-04-05,2026-04-05 19:14:15,3,2,2,storage-film-346,Read Operations,westeurope,220.8462,0.053213,11.7519,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
13,2026-04-05,2026-04-05 13:01:55,1,1,3,adf-standard-462,Pipeline Activity Runs,westeurope,248.065,0.021498,5.3329,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
14,2026-04-05,2026-04-05 12:44:15,2,1,2,storage-letter-620,Write Operations,westeurope,277.5805,0.031307,8.6902,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.802937,2026-05-05 15:38:47.802937
15,2026-04-05,2026-04-05 03:23:40,2,5,4,dbr-off-736,All Purpose Compute DBU,westeurope,276.6489,0.512834,141.875,USD,SAVINGS_PLAN,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
16,2026-04-05,2026-04-05 17:57:42,2,4,5,sqldb-enjoy-582,General Purpose vCore Hours,westeurope,309.3874,1.115403,345.0916,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
17,2026-04-05,2026-04-05 10:31:39,2,1,3,adf-study-692,Pipeline Activity Runs,westeurope,303.7617,0.046478,14.1182,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
18,2026-04-05,2026-04-05 21:44:32,2,3,7,log-mother-344,Data Ingestion GB,northeurope,1.3981,0.923161,1.2907,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
19,2026-04-05,2026-04-05 13:13:13,2,2,7,log-debate-122,Data Retention GB,westeurope,281.2752,1.608935,452.5535,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
20,2026-04-05,2026-04-05 20:46:04,2,2,1,vm-set-623,D8s v5 VM Hours,westeurope,488.6538,0.353686,172.83,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
21,2026-04-05,2026-04-05 21:29:50,1,3,2,storage-participant-444,Write Operations,northeurope,287.9255,0.141994,40.8837,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
22,2026-04-05,2026-04-05 23:52:49,3,1,6,eventhub-risk-296,Ingress Events,westeurope,478.1231,0.227612,108.8266,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
23,2026-04-05,2026-04-05 10:37:19,1,5,4,dbr-difference-750,Jobs Compute DBU,westeurope,210.947,0.651533,137.4389,USD,PAYG,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
24,2026-04-05,2026-04-05 03:45:21,2,4,6,eventhub-somebody-243,Ingress Events,westeurope,276.705,0.067205,18.596,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
25,2026-04-05,2026-04-05 20:11:12,2,4,7,log-environment-377,Data Retention GB,westeurope,472.0832,1.113152,525.5004,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
26,2026-04-05,2026-04-05 13:42:25,2,2,3,adf-along-808,Data Movement Hours,westeurope,458.6443,0.04086,18.7402,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
27,2026-04-05,2026-04-05 01:21:48,1,1,5,sqldb-year-834,General Purpose vCore Hours,westeurope,92.6544,1.128891,104.5967,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
28,2026-04-05,2026-04-05 14:21:24,3,4,2,storage-lay-965,Write Operations,westeurope,135.4489,0.011397,1.5437,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
29,2026-04-05,2026-04-05 05:52:53,3,1,6,eventhub-wind-782,Standard Throughput Unit,westeurope,17.0032,0.127545,2.1687,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
30,2026-04-05,2026-04-05 10:51:16,3,3,1,vm-change-897,E8s v5 VM Hours,northeurope,19.4069,0.94989,18.4344,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
31,2026-04-05,2026-04-05 20:10:32,1,2,7,log-particularly-838,Data Ingestion GB,westeurope,303.7254,1.643379,499.1359,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
32,2026-04-05,2026-04-05 05:25:01,1,4,3,adf-protect-455,Data Movement Hours,westeurope,478.5261,0.028731,13.7485,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
33,2026-04-05,2026-04-05 13:13:48,2,4,1,vm-strategy-269,D8s v5 VM Hours,westeurope,307.4884,0.914844,281.3039,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
34,2026-04-05,2026-04-05 11:27:58,2,4,2,storage-sign-912,Write Operations,westeurope,474.1877,0.070186,33.2813,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
35,2026-04-05,2026-04-05 18:31:24,1,4,5,sqldb-today-527,Storage GB,westeurope,138.2395,0.875159,120.9815,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
36,2026-04-05,2026-04-05 23:50:51,1,4,4,dbr-option-838,Jobs Compute DBU,westeurope,300.9836,0.697833,210.0363,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
37,2026-04-05,2026-04-05 06:00:03,3,1,6,eventhub-must-860,Ingress Events,westeurope,450.3276,0.17272,77.7806,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
38,2026-04-05,2026-04-05 22:42:05,2,5,7,log-stop-271,Data Ingestion GB,westeurope,28.7499,2.090242,60.0942,USD,SAVINGS_PLAN,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
39,2026-04-05,2026-04-05 03:46:07,3,5,3,adf-discover-213,Pipeline Activity Runs,westeurope,127.9771,0.041858,5.3569,USD,SAVINGS_PLAN,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
40,2026-04-05,2026-04-05 16:54:49,3,5,1,vm-card-564,D4s v5 VM Hours,westeurope,336.5556,0.257842,86.7782,USD,PAYG,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
41,2026-04-05,2026-04-05 22:21:11,3,1,2,storage-that-172,Write Operations,westeurope,35.3502,0.138854,4.9085,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
42,2026-04-05,2026-04-05 20:11:48,3,1,4,dbr-conference-514,All Purpose Compute DBU,westeurope,499.517,0.672924,336.137,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
43,2026-04-05,2026-04-05 15:38:32,1,3,4,dbr-could-991,Jobs Compute DBU,northeurope,94.2667,0.210346,19.8286,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
44,2026-04-05,2026-04-05 03:09:44,1,3,2,storage-soldier-675,Hot LRS Data Stored,northeurope,385.1361,0.026343,10.1456,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
45,2026-04-05,2026-04-05 15:28:50,2,1,1,vm-source-734,E8s v5 VM Hours,westeurope,437.3047,0.147944,64.6966,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
46,2026-04-05,2026-04-05 06:19:06,1,5,2,storage-kind-161,Hot LRS Data Stored,westeurope,239.9161,0.145664,34.9471,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
47,2026-04-05,2026-04-05 05:35:51,3,1,3,adf-more-397,Data Movement Hours,westeurope,307.13,0.008251,2.5341,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
48,2026-04-05,2026-04-05 07:52:13,2,4,4,dbr-spring-854,Jobs Compute DBU,westeurope,283.6241,0.206387,58.5363,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
49,2026-04-05,2026-04-05 12:28:24,3,5,6,eventhub-treat-599,Standard Throughput Unit,westeurope,40.2494,0.136538,5.4956,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.803935,2026-05-05 15:38:47.803935
50,2026-04-05,2026-04-05 14:33:51,3,1,3,adf-for-669,Pipeline Activity Runs,westeurope,360.9078,0.029514,10.6518,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
51,2026-04-05,2026-04-05 20:42:26,2,5,7,log-large-726,Data Ingestion GB,westeurope,468.6202,1.868386,875.5634,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
52,2026-04-05,2026-04-05 07:40:04,3,4,3,adf-interesting-287,Pipeline Activity Runs,westeurope,369.7955,0.002844,1.0517,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
53,2026-04-05,2026-04-05 07:16:10,2,1,5,sqldb-store-652,General Purpose vCore Hours,westeurope,51.1743,0.727615,37.2352,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
54,2026-04-05,2026-04-05 17:13:51,1,3,1,vm-since-902,D8s v5 VM Hours,northeurope,141.4712,0.360835,51.0478,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
55,2026-04-05,2026-04-05 04:59:32,1,1,5,sqldb-senior-920,General Purpose vCore Hours,westeurope,332.689,1.009645,335.8978,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
56,2026-04-05,2026-04-05 14:05:40,1,3,7,log-compare-923,Data Ingestion GB,northeurope,214.8831,0.925772,198.9328,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
57,2026-04-05,2026-04-05 10:02:09,2,3,5,sqldb-game-267,General Purpose vCore Hours,northeurope,150.4966,0.73805,111.074,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
58,2026-04-05,2026-04-05 03:26:08,3,2,4,dbr-try-896,All Purpose Compute DBU,westeurope,78.8635,0.307226,24.2289,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
59,2026-04-05,2026-04-05 17:30:04,1,2,5,sqldb-particularly-971,Storage GB,westeurope,239.3313,0.705463,168.8394,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
60,2026-04-05,2026-04-05 11:05:35,2,4,4,dbr-next-978,Jobs Compute DBU,westeurope,483.8191,0.342773,165.8401,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
61,2026-04-05,2026-04-05 16:46:04,2,1,3,adf-edge-415,Data Movement Hours,westeurope,27.2778,0.044314,1.2088,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
62,2026-04-05,2026-04-05 22:10:16,3,3,5,sqldb-development-600,Storage GB,northeurope,23.1009,0.762956,17.625,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
63,2026-04-05,2026-04-05 12:00:58,2,1,1,vm-defense-626,E8s v5 VM Hours,westeurope,153.1108,0.764465,117.0478,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
64,2026-04-05,2026-04-05 13:45:00,3,3,2,storage-perhaps-817,Write Operations,northeurope,126.9099,0.107958,13.7009,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
65,2026-04-05,2026-04-05 18:15:35,1,1,5,sqldb-why-834,General Purpose vCore Hours,westeurope,124.8783,1.424753,177.9207,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
66,2026-04-05,2026-04-05 09:41:26,2,1,2,storage-know-167,Read Operations,westeurope,242.8355,0.138936,33.7386,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
67,2026-04-05,2026-04-05 01:11:52,2,4,5,sqldb-blue-430,Storage GB,westeurope,316.5042,1.192569,377.4531,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
68,2026-04-05,2026-04-05 12:19:11,2,5,1,vm-task-364,E8s v5 VM Hours,westeurope,216.157,0.394463,85.2659,USD,SAVINGS_PLAN,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
69,2026-04-05,2026-04-05 22:35:58,3,1,4,dbr-lead-557,Jobs Compute DBU,westeurope,293.0171,0.80203,235.0085,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
70,2026-04-05,2026-04-05 03:13:13,3,3,7,log-and-565,Data Ingestion GB,northeurope,322.0927,2.147213,691.6016,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
71,2026-04-05,2026-04-05 13:19:48,2,4,2,storage-over-262,Hot LRS Data Stored,westeurope,17.6983,0.118884,2.104,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
72,2026-04-05,2026-04-05 13:16:20,3,2,5,sqldb-table-967,General Purpose vCore Hours,westeurope,477.5104,1.039512,496.3778,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
73,2026-04-05,2026-04-05 23:46:50,2,1,3,adf-less-604,Data Movement Hours,westeurope,187.1666,0.042701,7.9922,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
74,2026-04-05,2026-04-05 09:58:00,3,1,1,vm-sell-980,D8s v5 VM Hours,westeurope,333.2657,0.17406,58.0082,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
75,2026-04-05,2026-04-05 12:52:02,3,4,3,adf-professor-831,Pipeline Activity Runs,westeurope,202.4964,0.01022,2.0695,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
76,2026-04-05,2026-04-05 08:11:02,2,2,5,sqldb-strategy-566,Storage GB,westeurope,356.5451,0.847971,302.3399,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
77,2026-04-05,2026-04-05 09:08:49,3,4,3,adf-or-884,Pipeline Activity Runs,westeurope,17.1101,0.034771,0.5949,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
78,2026-04-05,2026-04-05 01:51:41,1,5,1,vm-produce-251,E8s v5 VM Hours,westeurope,287.0989,0.258311,74.1608,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
79,2026-04-05,2026-04-05 12:41:17,1,1,2,storage-memory-359,Read Operations,westeurope,307.9528,0.058913,18.1424,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
80,2026-04-05,2026-04-05 03:27:33,3,1,2,storage-difference-133,Read Operations,westeurope,452.8912,0.016999,7.6987,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
81,2026-04-05,2026-04-05 05:15:23,3,4,7,log-forward-708,Data Ingestion GB,westeurope,262.7235,2.223804,584.2456,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
82,2026-04-05,2026-04-05 19:07:22,2,1,5,sqldb-town-985,Storage GB,westeurope,473.0593,1.418251,670.9168,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
83,2026-04-05,2026-04-05 07:36:41,3,3,2,storage-effort-824,Write Operations,northeurope,233.7196,0.138506,32.3716,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.804934,2026-05-05 15:38:47.804934
84,2026-04-05,2026-04-05 19:41:27,3,1,7,log-reality-915,Data Ingestion GB,westeurope,171.6412,0.520436,89.3283,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
85,2026-04-05,2026-04-05 22:25:29,2,1,2,storage-believe-794,Write Operations,westeurope,439.4036,0.137803,60.5511,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
86,2026-04-05,2026-04-05 18:34:25,1,1,4,dbr-resource-205,All Purpose Compute DBU,westeurope,7.0339,0.405605,2.853,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
87,2026-04-05,2026-04-05 20:23:22,3,1,5,sqldb-forward-372,General Purpose vCore Hours,westeurope,274.4309,0.265546,72.874,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
88,2026-04-05,2026-04-05 20:48:00,2,5,5,sqldb-our-305,General Purpose vCore Hours,westeurope,350.0896,1.184331,414.622,USD,PAYG,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
89,2026-04-05,2026-04-05 11:20:43,3,3,6,eventhub-herself-334,Ingress Events,northeurope,452.2994,0.107858,48.7841,USD,SAVINGS_PLAN,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
90,2026-04-05,2026-04-05 19:14:17,3,5,1,vm-friend-329,D4s v5 VM Hours,westeurope,459.1972,0.164185,75.3933,USD,PAYG,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
91,2026-04-05,2026-04-05 19:05:56,1,2,4,dbr-through-973,Jobs Compute DBU,westeurope,499.7681,0.887074,443.3313,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
92,2026-04-05,2026-04-05 08:08:10,3,3,1,vm-suggest-212,D8s v5 VM Hours,northeurope,220.373,0.439282,96.8059,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
93,2026-04-05,2026-04-05 04:07:59,3,1,3,adf-project-276,Pipeline Activity Runs,westeurope,282.3663,0.001399,0.395,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
94,2026-04-05,2026-04-05 04:27:35,1,5,6,eventhub-provide-169,Standard Throughput Unit,westeurope,429.3428,0.261057,112.0829,USD,PAYG,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
95,2026-04-05,2026-04-05 16:00:43,3,4,4,dbr-season-793,All Purpose Compute DBU,westeurope,73.3081,0.289129,21.1955,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
96,2026-04-05,2026-04-05 07:54:31,1,1,2,storage-organization-210,Write Operations,westeurope,414.2377,0.03677,15.2315,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
97,2026-04-05,2026-04-05 15:32:20,3,4,4,dbr-leave-364,Jobs Compute DBU,westeurope,68.303,0.266234,18.1846,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
98,2026-04-05,2026-04-05 13:08:01,2,1,5,sqldb-they-760,General Purpose vCore Hours,westeurope,157.7569,0.612536,96.6318,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
99,2026-04-05,2026-04-05 18:38:57,2,1,2,storage-add-281,Hot LRS Data Stored,westeurope,272.9617,0.077138,21.0557,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
100,2026-04-05,2026-04-05 00:54:03,2,4,1,vm-when-747,E8s v5 VM Hours,westeurope,180.7395,0.666206,120.4097,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
101,2026-04-05,2026-04-05 07:36:21,2,1,5,sqldb-try-422,Storage GB,westeurope,416.7611,1.183507,493.2397,USD,PAYG,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
102,2026-04-05,2026-04-05 00:50:11,2,5,2,storage-wish-703,Read Operations,westeurope,229.237,0.051602,11.8291,USD,SAVINGS_PLAN,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
103,2026-04-05,2026-04-05 01:47:59,3,2,2,storage-that-406,Hot LRS Data Stored,westeurope,309.247,0.0126,3.8965,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
104,2026-04-05,2026-04-05 17:16:41,1,5,1,vm-or-843,D4s v5 VM Hours,westeurope,126.1581,0.298782,37.6938,USD,SAVINGS_PLAN,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
105,2026-04-05,2026-04-05 09:44:05,3,5,3,adf-soldier-602,Pipeline Activity Runs,westeurope,272.3224,0.029864,8.1326,USD,RESERVED,SHARED,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
106,2026-04-05,2026-04-05 13:13:59,1,2,5,sqldb-dark-225,Storage GB,westeurope,292.2127,1.308172,382.2645,USD,PAYG,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
107,2026-04-05,2026-04-05 06:26:31,3,3,4,dbr-leader-185,Jobs Compute DBU,northeurope,279.8093,0.388522,108.7121,USD,RESERVED,PROD,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
108,2026-04-05,2026-04-05 11:45:42,3,2,5,sqldb-weight-541,General Purpose vCore Hours,westeurope,116.8179,1.493015,174.4109,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
109,2026-04-05,2026-04-05 01:14:55,3,4,6,eventhub-social-161,Ingress Events,westeurope,123.2744,0.102172,12.5952,USD,SAVINGS_PLAN,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
110,2026-04-05,2026-04-05 03:57:38,1,2,3,adf-rule-586,Data Movement Hours,westeurope,185.7067,0.041463,7.7,USD,RESERVED,DEV,LOCAL_GENERATOR,2026-05-05 15:38:47.805935,2026-05-05 15:38:47.805935
